window,loss,psnr,ssim,relative_error,time_per_window
1,0.00894034095108509,20.486459732055664,0.8731516003608704,15.909578323364258,2.1732475757598877
2,0.009218811057507992,20.35325050354004,0.8610603213310242,16.29124641418457,4.2995359897613525
3,0.009288232773542404,20.32067108154297,0.8552227020263672,16.453916549682617,2.6028499603271484
4,0.0093371057882905,20.29787826538086,0.8376362919807434,16.6129207611084,2.4841578006744385
5,0.008201852440834045,20.860881805419922,0.8525444865226746,15.711173057556152,2.4419350624084473
6,0.005747513845562935,22.405200958251953,0.8539186716079712,13.29060173034668,2.4588656425476074
7,0.004337972961366177,23.627132415771484,0.8833783864974976,11.6717529296875,2.4382050037384033
8,0.004026689566671848,23.950519561767578,0.8882529139518738,11.357513427734375,2.4317524433135986
9,0.004376666154712439,23.588565826416016,0.89944988489151,11.922183990478516,2.441441297531128
10,0.005497228819876909,22.598562240600586,0.8895279765129089,13.628686904907227,2.4056289196014404
11,0.006819433998316526,21.662517547607422,0.8986228704452515,15.356130599975586,2.425945281982422
12,0.007455292623490095,21.27535629272461,0.8859217762947083,15.623456001281738,2.4384989738464355
13,0.008934576995670795,20.489261627197266,0.8846939206123352,17.29505729675293,2.4249267578125
14,0.008446801453828812,20.733078002929688,0.8828280568122864,17.125394821166992,2.3985371589660645
15,0.007990009151399136,20.974529266357422,0.8727784752845764,16.421586990356445,2.3736519813537598
16,0.008692813105881214,20.608396530151367,0.8603000044822693,16.665592193603516,2.3481619358062744
17,0.0079354178160429,21.004302978515625,0.8588169813156128,15.990479469299316,2.35923171043396
18,0.008706401102244854,20.601613998413086,0.864611029624939,16.788799285888672,2.343183994293213
19,0.008873640559613705,20.51898193359375,0.866195023059845,17.589920043945312,2.324577808380127
20,0.00777741614729166,21.09164810180664,0.8668296933174133,16.67425537109375,2.321707010269165
