window,loss,psnr,ssim,relative_error,time_per_window
1,0.004657956305891275,23.318044662475586,0.9654003977775574,11.483633041381836,5.117523908615112
2,0.0028807155322283506,25.404996871948242,0.9692256450653076,9.106827735900879,13.85990285873413
3,0.0008603111491538584,30.653446197509766,0.9518990516662598,5.007610321044922,4.8336498737335205
4,0.00017547621973790228,37.55781936645508,0.9821613430976868,2.2774505615234375,4.77214789390564
5,0.00013190876052249223,38.797264099121094,0.9838212132453918,1.9924591779708862,4.770364761352539
6,0.0001389719545841217,38.57073211669922,0.979716420173645,2.0666561126708984,4.758912086486816
7,0.00017187815683428198,37.647796630859375,0.9879788756370544,2.3232874870300293,5.014356851577759
8,0.0002404209808446467,36.190277099609375,0.986870288848877,2.775207042694092,4.855746746063232
9,0.0003021577140316367,35.19766616821289,0.9868823289871216,3.13257098197937,5.257353067398071
10,0.0003229470457881689,34.908687591552734,0.9856407046318054,3.3032984733581543,6.130336046218872
11,0.00035395094892010093,34.51057052612305,0.985482394695282,3.498478651046753,7.304506778717041
12,0.00043971947161480784,33.56824493408203,0.986416220664978,3.7943084239959717,8.80579400062561
13,0.0007401815964840353,31.30661964416504,0.98359614610672,4.977991580963135,7.053735971450806
14,0.0008117457618936896,30.905799865722656,0.9822733998298645,5.30889892578125,7.8788299560546875
15,0.0006060565356165171,32.174869537353516,0.9862160682678223,4.522703170776367,6.763062000274658
16,0.0006786581361666322,31.68349266052246,0.9834348559379578,4.656569480895996,6.3088037967681885
17,0.0006708506844006479,31.733741760253906,0.9823575019836426,4.64932107925415,6.963416814804077
18,0.0007780153537169099,31.090118408203125,0.980270504951477,5.018737316131592,5.824806213378906
19,0.0006495643174275756,31.873779296875,0.9793980717658997,4.759091377258301,5.739505290985107
20,0.0004544059920590371,33.425559997558594,0.9785874485969543,4.030424118041992,5.633073806762695
