window,loss,psnr,ssim,relative_error,time_per_window
1,0.1295628398656845,8.87519645690918,0.6856917142868042,60.56501388549805,17.560867071151733
2,0.09408857673406601,10.264631271362305,0.7328233122825623,52.04576110839844,9.849019765853882
3,0.07027652114629745,11.53189754486084,0.7611058950424194,45.25930404663086,7.542324066162109
4,0.05717113986611366,12.428232192993164,0.7690608501434326,41.10818099975586,8.167330980300903
5,0.04666145145893097,13.310418128967285,0.7740383744239807,37.47414779663086,6.850116968154907
6,0.03973311930894852,14.00847339630127,0.7738393545150757,34.944671630859375,10.311089992523193
7,0.03773873671889305,14.232126235961914,0.768789529800415,34.42597579956055,7.649621963500977
8,0.040167879313230515,13.961212158203125,0.7606925964355469,35.871429443359375,29.939904928207397
9,0.035355180501937866,14.515470504760742,0.7658951282501221,33.8852424621582,10.638025999069214
10,0.028222065418958664,15.494112968444824,0.7740786671638489,30.87994384765625,7.573852062225342
11,0.023608237504959106,16.269365310668945,0.7793816328048706,28.571922302246094,7.315968990325928
12,0.020870540291070938,16.804664611816406,0.787315845489502,26.140361785888672,6.71528172492981
13,0.023279894143342972,16.330190658569336,0.7885615229606628,27.917436599731445,6.732213020324707
14,0.021657448261976242,16.64392852783203,0.7955263257026672,27.421934127807617,6.889286279678345
15,0.01770174689590931,17.519838333129883,0.8041529059410095,24.442724227905273,12.166118144989014
16,0.017965950071811676,17.45549964904785,0.8113577961921692,23.95883560180664,11.038460969924927
17,0.014974781312048435,18.246395111083984,0.8217294812202454,21.966297149658203,11.585798025131226
18,0.01573524996638298,18.03126335144043,0.823863685131073,22.570289611816406,10.21517014503479
19,0.015556521713733673,18.080875396728516,0.8280131816864014,23.28998374938965,11.096916913986206
20,0.01264052465558052,18.982351303100586,0.8531333208084106,21.257455825805664,12.466000080108643
