window,loss,psnr,ssim,relative_error,time_per_window
1,0.004827728495001793,23.162572860717773,0.9428091645240784,11.691036224365234,4.009256362915039
2,0.0036843379493802786,24.336406707763672,0.9388387203216553,10.299036979675293,3.2110300064086914
3,0.002505022333934903,26.011884689331055,0.9706082344055176,8.544930458068848,3.2102651596069336
4,0.00046162676881067455,33.357093811035156,0.9745194911956787,3.693901777267456,3.1442811489105225
5,0.00018946574709843844,37.224693298339844,0.98283851146698,2.3879101276397705,3.1137561798095703
6,0.00016596454952377826,37.79984664916992,0.9855413436889648,2.2584593296051025,3.181553840637207
7,0.00018946258933283389,37.22476577758789,0.985002338886261,2.4392387866973877,3.1780171394348145
8,0.00023411295842379332,36.305747985839844,0.9851378202438354,2.738558053970337,3.107835054397583
9,0.00025144900428131223,35.99549865722656,0.9863000512123108,2.8576500415802,3.1243419647216797
10,0.00028024311177432537,35.52465057373047,0.9861023426055908,3.0771567821502686,3.1042938232421875
11,0.0002962052822113037,35.28407669067383,0.9856970906257629,3.2003984451293945,3.145904064178467
12,0.00032890692818909883,34.82926940917969,0.9863079190254211,3.281566858291626,3.128801107406616
13,0.0005644671618938446,32.48361587524414,0.981096088886261,4.347147464752197,3.158475875854492
14,0.000641690450720489,31.926746368408203,0.9795156121253967,4.720165729522705,3.1235878467559814
15,0.0004979147925041616,33.02845001220703,0.9819967746734619,4.099388122558594,3.090449094772339
16,0.0005584598402492702,32.53008270263672,0.9831694960594177,4.224123477935791,3.136054039001465
17,0.0004860982589889318,33.13275909423828,0.9831218719482422,3.9576611518859863,3.1743428707122803
18,0.0005703990464098752,32.43821334838867,0.9821336269378662,4.2972412109375,3.1630120277404785
19,0.0005072160856798291,32.94807052612305,0.9791156053543091,4.205420970916748,3.1112329959869385
20,0.00037853041430935264,34.218994140625,0.9801314473152161,3.6785709857940674,3.1208598613739014
