window,loss,psnr,ssim,relative_error,time_per_window
1,0.006833070423454046,21.653841018676758,0.8934823870658875,13.908796310424805,1.5902409553527832
2,0.0043073673732578754,23.657878875732422,0.9655470848083496,11.135836601257324,16.231191873550415
3,0.0035379850305616856,24.512441635131836,0.9612424373626709,10.15501880645752,27.548250198364258
4,0.002921534702181816,25.343891143798828,0.9658023118972778,9.292774200439453,31.32675528526306
5,0.0011915398063138127,29.238914489746094,0.9611856341362,5.988346099853516,1.9270899295806885
6,0.0005869590095244348,32.31392288208008,0.9673060774803162,4.247256755828857,1.977449893951416
7,0.0004958220524713397,33.0467414855957,0.9651329517364502,3.945986270904541,2.0579569339752197
8,0.000496154185384512,33.0438346862793,0.9647036790847778,3.98673677444458,1.9822657108306885
9,0.0005132467485964298,32.89673614501953,0.9712812304496765,4.08269739151001,2.3484349250793457
10,0.0005426877760328352,32.654502868652344,0.9731206297874451,4.282103538513184,2.527923107147217
11,0.000608516507782042,32.15727996826172,0.9649328589439392,4.587159633636475,2.3109471797943115
12,0.0007194572826847434,31.429950714111328,0.9706405997276306,4.853413105010986,2.1599249839782715
13,0.0011812100419774652,29.276731491088867,0.9734240770339966,6.288521766662598,2.156377077102661
14,0.0013237957609817386,28.78179168701172,0.974611222743988,6.779613494873047,2.4364469051361084
15,0.0012401703279465437,29.065189361572266,0.9736369848251343,6.46967077255249,2.125894069671631
16,0.0014819331699982285,28.291717529296875,0.9691376090049744,6.8810529708862305,2.3309550285339355
17,0.001419185777194798,28.479610443115234,0.9663317203521729,6.762328147888184,2.3130722045898438
18,0.001714416779577732,27.658836364746094,0.9654665589332581,7.450038909912109,2.2716431617736816
19,0.0018177299061790109,27.404706954956055,0.9636415243148804,7.961183547973633,2.274712085723877
20,0.0013383651385083795,28.734254837036133,0.9635136723518372,6.9169721603393555,2.4306201934814453
