window,loss,psnr,ssim,relative_error,time_per_window
1,0.003461243584752083,24.570568084716797,0.8404029011726379,9.842216491699219,0.44196486473083496
2,0.0008708141976967454,30.43790626525879,0.8989723920822144,4.974623203277588,0.8940386772155762
3,0.00045340057113207877,33.33065414428711,0.9192001819610596,3.6094062328338623,0.9973568916320801
4,0.0003430359356570989,34.64013671875,0.9306009411811829,3.159593343734741,1.0014657974243164
5,0.0002860499080270529,35.42107391357422,0.9355707168579102,2.909296751022339,0.9531524181365967
6,0.00030009259353391826,35.10929489135742,0.9304715991020203,3.0095155239105225,0.9873621463775635
7,0.00027705749380402267,35.561092376708984,0.9309365153312683,2.922459363937378,0.9517593383789062
8,0.00035018817288801074,34.534671783447266,0.9269325137138367,3.320950746536255,0.9127838611602783
9,0.0003295032656751573,34.78352737426758,0.9253743886947632,3.240025043487549,0.9051487445831299
10,0.00033034870284609497,34.801513671875,0.9277254343032837,3.302522659301758,0.9142105579376221
11,0.000336984870955348,34.70513153076172,0.9320082664489746,3.3745360374450684,0.9325051307678223
12,0.0003774003707803786,34.2130126953125,0.9344090223312378,3.4835517406463623,0.9517910480499268
13,0.0004524765827227384,33.4342155456543,0.9159128069877625,3.8752827644348145,0.91156005859375
14,0.0003935882414225489,34.04556655883789,0.9247808456420898,3.68576717376709,0.987018346786499
15,0.0003106762596871704,35.04412078857422,0.9443995356559753,3.2152538299560547,0.9229950904846191
16,0.00030568530200980604,35.143653869628906,0.9527016282081604,3.1061184406280518,0.9102904796600342
17,0.0002918881946243346,35.305816650390625,0.9469632506370544,3.045985460281372,0.9987025260925293
18,0.0003278105868957937,34.8403205871582,0.9457730650901794,3.236902952194214,1.011991262435913
19,0.0003922625910490751,34.05742263793945,0.9422547221183777,3.673668622970581,1.076056957244873
20,0.000315838580718264,35.00101852416992,0.950187623500824,3.3249621391296387,0.9726676940917969
