window,loss,psnr,ssim,relative_error,time_per_window
1,0.006273672915995121,22.024782180786133,0.9074742197990417,13.327310562133789,0.44754552841186523
2,0.004125998821109533,23.844709396362305,0.9656906127929688,10.898870468139648,0.4474337100982666
3,0.0028342644218355417,25.475597381591797,0.9651134610176086,9.089143753051758,0.4483771324157715
4,0.0006466822815127671,31.893091201782227,0.9716171622276306,4.37205171585083,0.4484822750091553
5,0.00035479155485518277,34.500267028808594,0.9757511615753174,3.2676777839660645,0.44761061668395996
6,0.00025323397130705416,35.964778900146484,0.9778977036476135,2.78975248336792,0.44797444343566895
7,0.00025221845135092735,35.98223114013672,0.9781678915023804,2.8143692016601562,0.44777846336364746
8,0.00028725931770168245,35.417259216308594,0.9783990383148193,3.0335159301757812,0.4490821361541748
9,0.0003181298088748008,34.97395706176758,0.9809209704399109,3.214298963546753,0.4484269618988037
10,0.00034618828794918954,34.606876373291016,0.9827008843421936,3.4200961589813232,0.44829249382019043
11,0.00037732653436250985,34.232826232910156,0.9823059439659119,3.612154722213745,0.4484367370605469
12,0.0004335586854722351,33.62952423095703,0.9812690019607544,3.767634153366089,0.44826245307922363
13,0.0006306337309069932,32.002227783203125,0.9806517958641052,4.594873905181885,0.44878387451171875
14,0.0006549751851707697,31.837751388549805,0.9827804565429688,4.768775463104248,0.44893503189086914
15,0.0005968360928818583,32.241451263427734,0.9830140471458435,4.488167762756348,0.4494290351867676
16,0.0007265533204190433,31.387325286865234,0.9812763333320618,4.818084239959717,0.44857215881347656
17,0.000721868360415101,31.415422439575195,0.9816853404045105,4.82287073135376,0.448131799697876
18,0.0008599236025474966,30.65540313720703,0.9794003963470459,5.276309490203857,0.449094295501709
19,0.0007731257355771959,31.11749839782715,0.977465033531189,5.19204044342041,0.4493248462677002
20,0.0005069931503385305,32.949981689453125,0.9791014790534973,4.257256031036377,0.4492189884185791
