window,loss,psnr,ssim,relative_error,time_per_window
1,0.008838031440973282,20.53644371032715,0.8814327120780945,15.818283081054688,4.029317617416382
2,0.009329946711659431,20.30120849609375,0.8618842363357544,16.38915252685547,1.9196641445159912
3,0.009950244799256325,20.021663665771484,0.8538312315940857,17.030195236206055,1.853055477142334
4,0.010628173127770424,19.735414505004883,0.8464533090591431,17.724302291870117,1.857908010482788
5,0.011206157505512238,19.505434036254883,0.837386965751648,18.364578247070312,1.8587849140167236
6,0.011768893338739872,19.292644500732422,0.8233729600906372,19.018333435058594,1.8659398555755615
7,0.01000151876360178,19.999340057373047,0.8230507373809814,17.72252655029297,1.8713476657867432
8,0.007319549564272165,21.35515594482422,0.8713953495025635,15.312687873840332,1.8669068813323975
9,0.007250666152685881,21.396221160888672,0.8937659859657288,15.34521770477295,1.8763794898986816
10,0.008101592771708965,20.914297103881836,0.8782653212547302,16.545021057128906,1.871539831161499
11,0.009284952655434608,20.32220458984375,0.8903634548187256,17.9183292388916,1.875755786895752
12,0.009490915574133396,20.226919174194336,0.8761082887649536,17.62782859802246,1.8800475597381592
13,0.010487723164260387,19.793188095092773,0.8896613121032715,18.738101959228516,1.8812792301177979
14,0.009972602128982544,20.011917114257812,0.9052312970161438,18.607955932617188,1.8832290172576904
15,0.010141080245375633,19.939157485961914,0.8992761969566345,18.500507354736328,1.8856136798858643
16,0.011517434380948544,19.386442184448242,0.8670130968093872,19.183086395263672,1.8945074081420898
17,0.010108711197972298,19.953041076660156,0.8755150437355042,18.047809600830078,1.8913278579711914
18,0.010282457806169987,19.879030227661133,0.865299642086029,18.245206832885742,1.8963217735290527
19,0.010052638128399849,19.97719955444336,0.8521326184272766,18.72203254699707,1.8995859622955322
20,0.008319496177136898,20.799030303955078,0.8643215298652649,17.245559692382812,1.9044623374938965
