window,loss,psnr,ssim,relative_error,time_per_window
1,0.003689030185341835,24.29376792907715,0.8312373757362366,10.160918235778809,0.4541468620300293
2,0.0008394050528295338,30.597442626953125,0.9003170728683472,4.884085178375244,0.917177677154541
3,0.00044840239570476115,33.3787956237793,0.9235267043113708,3.589456558227539,0.9096667766571045
4,0.00035699844011105597,34.46687316894531,0.9350782036781311,3.2232537269592285,1.0554747581481934
5,0.0003272622707299888,34.83653259277344,0.9368681907653809,3.1118245124816895,1.3289015293121338
6,0.00033638629247434437,34.61346435546875,0.9366953372955322,3.1863105297088623,1.3213458061218262
7,0.0003293385962024331,34.810367584228516,0.9312477111816406,3.186286687850952,1.3288235664367676
8,0.00039330756408162415,34.030364990234375,0.9303260445594788,3.519474744796753,1.333225965499878
9,0.00035410127020440996,34.47085189819336,0.929206907749176,3.358785390853882,1.340083122253418
10,0.0003088648372795433,35.09355926513672,0.9378274083137512,3.1933295726776123,1.357968807220459
11,0.0003595460730139166,34.42369079589844,0.9365235567092896,3.4856691360473633,1.3455736637115479
12,0.00045137779670767486,33.43563461303711,0.9349834322929382,3.809703826904297,1.3531062602996826
13,0.00046446852502413094,33.320613861083984,0.9349600672721863,3.926299810409546,1.356600046157837
14,0.00042820724775083363,33.67945098876953,0.9366570115089417,3.8444466590881348,1.3394510746002197
15,0.0003414865641389042,34.63346481323242,0.950836181640625,3.3709168434143066,1.3255691528320312
16,0.0003240631485823542,34.89010238647461,0.950420081615448,3.1981258392333984,1.3313720226287842
17,0.0003172439755871892,34.94404983520508,0.9494605660438538,3.175529956817627,1.3488109111785889
18,0.0003541463811416179,34.504722595214844,0.9493771195411682,3.364414691925049,1.3389794826507568
19,0.0004231726925354451,33.7280158996582,0.9473444819450378,3.8156661987304688,1.3298509120941162
20,0.00039968875353224576,33.97845458984375,0.946642279624939,3.740374803543091,1.3282239437103271
