window,loss,psnr,ssim,relative_error,time_per_window
1,0.008592952974140644,20.65857696533203,0.8683262467384338,15.597420692443848,41.59024477005005
2,0.008605191484093666,20.65239715576172,0.8598158359527588,15.739727020263672,29.319581985473633
3,0.00883199367672205,20.539413452148438,0.8370732665061951,16.044719696044922,26.49070382118225
4,0.008401982486248016,20.756183624267578,0.8724612593650818,15.759076118469238,26.38247776031494
5,0.0066034081391990185,21.802318572998047,0.8797077536582947,14.097325325012207,26.74381184577942
6,0.0046058278530836105,23.366924285888672,0.860980749130249,11.897575378417969,26.423837900161743
7,0.0030645590741187334,25.136320114135742,0.8912336826324463,9.810172080993652,26.891772031784058
8,0.002874458907172084,25.414440155029297,0.9020261168479919,9.59593391418457,28.091261863708496
9,0.0033721087966114283,24.720983505249023,0.9016793966293335,10.464895248413086,30.611093997955322
10,0.004230485297739506,23.736099243164062,0.8990617394447327,11.955760955810547,31.58338475227356
11,0.005023440811783075,22.989988327026367,0.883579432964325,13.179783821105957,31.2991681098938
12,0.005341659765690565,22.723237991333008,0.8804153800010681,13.224609375,32.35497999191284
13,0.006057814694941044,22.17683982849121,0.8756140470504761,14.241083145141602,31.731872081756592
14,0.00543711893260479,22.646312713623047,0.8823831081390381,13.739750862121582,34.007564067840576
15,0.004779715556651354,23.205982208251953,0.8829513192176819,12.701135635375977,31.754332065582275
16,0.005108416546136141,22.917137145996094,0.8806897401809692,12.775672912597656,29.991487979888916
17,0.004690541420131922,23.287771224975586,0.8836126923561096,12.293854713439941,30.66390085220337
18,0.005658658687025309,22.47286605834961,0.8812864422798157,13.534963607788086,30.899294137954712
19,0.006649894639849663,21.771852493286133,0.8789328336715698,15.227210998535156,41.26311111450195
20,0.0056151095777750015,22.506418228149414,0.8773484230041504,14.167978286743164,14.563682079315186
