epoch,loss,psnr,ssim,relative_error,time_per_epoch
1,0.20267687306592339,6.891837120056152,0.48240870237350464,80.24800872802734,0.1637415885925293
2,0.03927051315182134,14.02767562866211,0.7436608076095581,35.28923797607422,0.14290189743041992
3,0.014066627396172598,18.50263786315918,0.8024687767028809,21.081144332885742,0.11651158332824707
4,0.009169714917477808,20.372095108032227,0.8230978846549988,16.998918533325195,0.1116786003112793
5,0.007739832551267587,21.10804557800293,0.8323513269424438,15.617940902709961,0.10986948013305664
6,0.006978272509418036,21.562911987304688,0.8402824997901917,14.821102142333984,0.11004161834716797
7,0.006385985467779009,21.94066047668457,0.8476393222808838,14.190347671508789,0.11259317398071289
8,0.005913405605640851,22.27400016784668,0.8531012535095215,13.656084060668945,0.11011052131652832
9,0.005511005139468532,22.581708908081055,0.8580887913703918,13.180768966674805,0.10979056358337402
10,0.005132575960535752,22.889198303222656,0.860480546951294,12.722312927246094,0.1113731861114502
11,0.0047574805733012525,23.22019386291504,0.8629463911056519,12.246624946594238,0.11181044578552246
12,0.004374822111506211,23.57896614074707,0.8680757880210876,11.751081466674805,0.1119227409362793
13,0.004004765559281958,23.96153450012207,0.870158314704895,11.244741439819336,0.11104297637939453
14,0.0036241103723449143,24.411401748657227,0.8726168870925903,10.677165985107422,0.11141657829284668
15,0.0032449853361437193,24.88511848449707,0.8753843307495117,10.110445022583008,0.11168169975280762
16,0.0029137396302662396,25.349178314208984,0.8792147040367126,9.58444881439209,0.1124875545501709
17,0.0026479113699966355,25.760875701904297,0.8832385540008545,9.140761375427246,0.1106574535369873
18,0.0024421474357184613,26.12006187438965,0.8879469037055969,8.770474433898926,0.10811066627502441
19,0.0022333210187130853,26.50109100341797,0.8912401795387268,8.394052505493164,0.109344482421875
20,0.0020496874655547893,26.894290924072266,0.8940108418464661,8.022534370422363,0.10888528823852539
21,0.0018873239230168494,27.225975036621094,0.8974345326423645,7.721957683563232,0.11014199256896973
22,0.0017375264525119412,27.599689483642578,0.8989818692207336,7.396761417388916,0.1095728874206543
23,0.0016759997662646991,27.75040626525879,0.9025002121925354,7.269521236419678,0.10894417762756348
24,0.0015407230484446412,28.120079040527344,0.9048919677734375,6.966620445251465,0.10928130149841309
25,0.0014530310076416324,28.364532470703125,0.9076061248779297,6.773287773132324,0.1123497486114502
26,0.0013650827734780155,28.63874626159668,0.9090880751609802,6.5627946853637695,0.1103816032409668
27,0.0012797038009586302,28.921926498413086,0.9130971431732178,6.352283954620361,0.11098623275756836
28,0.001216423642625542,29.13616943359375,0.9144852161407471,6.197516441345215,0.1125333309173584
29,0.0011578302732423733,29.35803985595703,0.9160809516906738,6.041213035583496,0.11098051071166992
30,0.0010806431834536948,29.66537857055664,0.9189700484275818,5.8311896324157715,0.11175012588500977
31,0.0010686656582708422,29.71053123474121,0.9170297384262085,5.800954818725586,0.11192178726196289
32,0.0010070057254970859,29.971019744873047,0.9160799384117126,5.629567623138428,0.11231088638305664
33,0.0009552173739250161,30.192602157592773,0.9217033386230469,5.487772464752197,0.11065888404846191
34,0.0009501789249234685,30.21735191345215,0.9198341965675354,5.472157955169678,0.11199092864990234
35,0.0008676441043223205,30.609912872314453,0.9232727289199829,5.230347156524658,0.11075830459594727
36,0.000842524052131921,30.73810386657715,0.9241971969604492,5.153721809387207,0.1100313663482666
37,0.0008415986299759856,30.745929718017578,0.9243410229682922,5.1490797996521,0.11073660850524902
38,0.0008318812653765475,30.790775299072266,0.9242799878120422,5.122564315795898,0.11007189750671387
39,0.0007777253386417502,31.07927131652832,0.9261904954910278,4.955216884613037,0.11058640480041504
40,0.0007282179185973579,31.36371421813965,0.9325260519981384,4.7955732345581055,0.1118772029876709
41,0.0007146007019879395,31.449691772460938,0.9311568140983582,4.748337745666504,0.11145639419555664
42,0.0006893962517527765,31.606901168823242,0.9307605028152466,4.663168430328369,0.11132144927978516
43,0.0006826153839938343,31.660423278808594,0.9329325556755066,4.634522438049316,0.1083681583404541
44,0.0006449577876513725,31.900333404541016,0.9330017566680908,4.508265495300293,0.10774612426757812
45,0.0006774704854347204,31.698631286621094,0.9267266988754272,4.614179611206055,0.10967803001403809
46,0.0006314577461269341,31.982900619506836,0.9286487102508545,4.465612888336182,0.10893130302429199
47,0.0006028078986625923,32.186767578125,0.9340623021125793,4.362020492553711,0.1075296401977539
48,0.000616804463788867,32.08954620361328,0.9325399994850159,4.411118984222412,0.10757327079772949
49,0.0005870722142342282,32.302146911621094,0.9336252212524414,4.3044610023498535,0.11017322540283203
50,0.0006010115244670919,32.21136474609375,0.9321554899215698,4.349687099456787,0.1117100715637207
51,0.0005822515185603774,32.34431457519531,0.9326947331428528,4.2836151123046875,0.11016583442687988
52,0.0005892986909633404,32.30625915527344,0.9317993521690369,4.302423000335693,0.10870909690856934
53,0.0005394140546406178,32.692684173583984,0.9313551783561707,4.115209579467773,0.10795283317565918
54,0.0005539522190749841,32.550140380859375,0.934207558631897,4.183300495147705,0.10857248306274414
55,0.0005069588353906415,32.958641052246094,0.9365940690040588,3.9911136627197266,0.11069679260253906
56,0.0004933966801648861,33.05895233154297,0.9378149509429932,3.9452877044677734,0.10912013053894043
57,0.0004915552409855943,33.09431457519531,0.9370758533477783,3.9292566776275635,0.10791659355163574
58,0.0004973250968185695,33.03142547607422,0.935513436794281,3.9578092098236084,0.10920858383178711
59,0.0005100027697871587,32.94686508178711,0.9384085536003113,3.996528387069702,0.10903286933898926
60,0.00047224976342955704,33.2496223449707,0.936627209186554,3.859623908996582,0.10808753967285156
61,0.00046559340492086977,33.32101058959961,0.9370607733726501,3.8280320167541504,0.10845780372619629
62,0.0004920762914576029,33.069183349609375,0.9351879954338074,3.9406423568725586,0.11108708381652832
63,0.00048335406494228855,33.146575927734375,0.937404215335846,3.905686855316162,0.1071176528930664
64,0.00044136792023078,33.56512451171875,0.9414984583854675,3.7219438552856445,0.10655450820922852
65,0.00043090496910735965,33.67628479003906,0.9374704957008362,3.6746156215667725,0.10925436019897461
66,0.0004015462243267776,33.95093536376953,0.9423506855964661,3.560239791870117,0.10711407661437988
67,0.0003986156998986476,33.996517181396484,0.9415956735610962,3.5416066646575928,0.10702896118164062
68,0.0004292782656480803,33.666664123535156,0.933800458908081,3.678687572479248,0.10944747924804688
69,0.0004021391673871365,33.966468811035156,0.9425134658813477,3.553880453109741,0.10868215560913086
70,0.00039156286450298995,34.05430603027344,0.9427923560142517,3.5181212425231934,0.1088259220123291
71,0.0004017166578897128,33.95100784301758,0.9387732148170471,3.560211181640625,0.1091609001159668
72,0.0004170347360501948,33.799015045166016,0.9409794211387634,3.623058557510376,0.10961174964904785
73,0.0003694271282783072,34.32905578613281,0.945854902267456,3.408578395843506,0.10917520523071289
74,0.00038963247023179735,34.097286224365234,0.9389280676841736,3.500755786895752,0.10998249053955078
75,0.0003686050568878847,34.32487487792969,0.9475694894790649,3.410220146179199,0.1144406795501709
76,0.00035284251881469235,34.521888732910156,0.9465762376785278,3.3337395191192627,0.1085348129272461
77,0.0003908933094384051,34.09061813354492,0.9394645690917969,3.5034444332122803,0.12931323051452637
78,0.00038369480783953085,34.14582824707031,0.9417012929916382,3.4812464714050293,0.1083688735961914
79,0.00035850050258695294,34.457115173339844,0.9460218548774719,3.3586933612823486,0.11028766632080078
80,0.00037136141480387827,34.31394958496094,0.9384350776672363,3.4145116806030273,0.1098780632019043
81,0.0003599597778367369,34.43308639526367,0.9408577680587769,3.3679988384246826,0.1091156005859375
82,0.0003385398288772098,34.696983337402344,0.9488421082496643,3.26720929145813,0.10910391807556152
83,0.00035279570606929297,34.51116180419922,0.946147084236145,3.3378589153289795,0.1091909408569336
84,0.0003646093138836716,34.362545013427734,0.9428054094314575,3.3954625129699707,0.1071624755859375
85,0.00037147095702637573,34.30965042114258,0.9384186267852783,3.416203737258911,0.10621452331542969
86,0.000346440163220426,34.58496856689453,0.9413084387779236,3.30961537361145,0.10667991638183594
87,0.0003305344044316658,34.798912048339844,0.9443041086196899,3.2290923595428467,0.10713362693786621
88,0.00032758645982922693,34.83686065673828,0.9468648433685303,3.2150163650512695,0.10760092735290527
89,0.000348786305709693,34.57012939453125,0.9428252577781677,3.315275192260742,0.10885000228881836
90,0.0003347029943190711,34.74766159057617,0.9427396059036255,3.248202323913574,0.10869407653808594
91,0.00031047990992910375,35.06924057006836,0.9441410303115845,3.130143880844116,0.10862898826599121
92,0.00032326832144080023,34.902225494384766,0.9450496435165405,3.1909122467041016,0.11209487915039062
93,0.00029276519489940256,35.318641662597656,0.9478402137756348,3.041544198989868,0.11152434349060059
94,0.0002920237893704325,35.33850860595703,0.9461816549301147,3.034594774246216,0.11242103576660156
95,0.0003230321760240354,34.92277526855469,0.9437851905822754,3.18337082862854,0.11258673667907715
96,0.0003031225443057912,35.1943244934082,0.9403361082077026,3.0853893756866455,0.11238503456115723
97,0.00031121200299821794,35.068077087402344,0.9448482394218445,3.130561590194702,0.11240649223327637
98,0.0002831841189426517,35.479881286621094,0.9465553760528564,2.985602855682373,0.11139225959777832
99,0.0002861975081032142,35.4183349609375,0.9460228681564331,3.006834030151367,0.10818910598754883
100,0.0002962108609560681,35.28075408935547,0.9438047409057617,3.054839611053467,0.10726809501647949
101,0.0003002146281926942,35.230472564697266,0.9456490278244019,3.0725748538970947,0.11121726036071777
102,0.000335862631848278,34.71936798095703,0.9442295432090759,3.2587993144989014,0.11114764213562012
103,0.00027388049056753516,35.62844467163086,0.9454978704452515,2.9349722862243652,0.10995984077453613
104,0.0003266092611930186,34.850223541259766,0.94012451171875,3.210073709487915,0.10994243621826172
105,0.0003651510066303768,34.368919372558594,0.936118483543396,3.392970561981201,0.10938072204589844
106,0.00033255296263010487,34.77286911010742,0.9379095435142517,3.23878812789917,0.10815238952636719
107,0.0002778622981981914,35.5471076965332,0.9486334323883057,2.9625837802886963,0.10898733139038086
108,0.0002957984037685061,35.29360580444336,0.9488975405693054,3.050323486328125,0.10882306098937988
109,0.0002959250804882399,35.277008056640625,0.9448848962783813,3.056156873703003,0.10821533203125
110,0.0002787039893997931,35.55092239379883,0.9510304927825928,2.9612841606140137,0.10985493659973145
111,0.0003195576259474221,34.95164489746094,0.9432957172393799,3.172808885574341,0.11095571517944336
112,0.00028094605123011495,35.509830474853516,0.9422985315322876,2.975327253341675,0.11037898063659668
113,0.00024707126124811013,36.08253479003906,0.9466025829315186,2.7854762077331543,0.11086678504943848
114,0.00026289051809152096,35.79684066772461,0.9488264322280884,2.8786189556121826,0.10986471176147461
115,0.000271390336198046,35.66693878173828,0.9479842185974121,2.9219932556152344,0.11039972305297852
116,0.00026621551430588096,35.75636291503906,0.9462245106697083,2.8920645713806152,0.11137866973876953
117,0.0002616255859672827,35.824180603027344,0.9473093748092651,2.8695716857910156,0.11218571662902832
