epoch,loss,psnr,ssim,relative_error,time_per_epoch
1,0.4228526777342746,3.718482494354248,0.04500807076692581,115.63837432861328,3.7891409397125244
2,0.2345998781292062,6.281537055969238,0.31791093945503235,86.08931732177734,0.11450576782226562
3,0.1346810569888667,8.687498092651367,0.5434184670448303,65.2606201171875,0.10818004608154297
4,0.0746776155735317,11.24910831451416,0.7076568603515625,48.59267044067383,0.11900663375854492
5,0.043017586987269554,13.645814895629883,0.7760530114173889,36.87528610229492,0.10764932632446289
6,0.026423910828797442,15.765753746032715,0.8079644441604614,28.889392852783203,0.12929987907409668
7,0.018963636487330262,17.20684242248535,0.8237118721008301,24.472822189331055,0.11173772811889648
8,0.014616936543270162,18.342687606811523,0.8294886946678162,21.472949981689453,0.10863232612609863
9,0.012225997634232044,19.119333267211914,0.8335610032081604,19.636293411254883,0.10747861862182617
10,0.010217763091388502,19.90760612487793,0.842070460319519,17.93270492553711,0.10883283615112305
11,0.009158767269630181,20.388357162475586,0.846015453338623,16.967121124267578,0.1092078685760498
12,0.008582654825754855,20.655515670776367,0.853564977645874,16.453201293945312,0.1101064682006836
13,0.007629434847714086,21.18025016784668,0.8573803901672363,15.488651275634766,0.11030721664428711
14,0.007158260571917421,21.451494216918945,0.8687455654144287,15.012444496154785,0.10748648643493652
15,0.006649170708107321,21.76589584350586,0.8670225143432617,14.478759765625,0.10767078399658203
16,0.006337655463108891,21.974075317382812,0.8718713521957397,14.1358642578125,0.10994720458984375
17,0.005855424133570571,22.315471649169922,0.8690621256828308,13.59103775024414,0.10603451728820801
18,0.005532503985848866,22.563772201538086,0.8695499897003174,13.208015441894531,0.10920453071594238
19,0.0051610214194576995,22.86257553100586,0.8744570016860962,12.761372566223145,0.11131620407104492
20,0.005022416087357621,22.983972549438477,0.874839723110199,12.584251403808594,0.10841131210327148
21,0.004782984842007097,23.206396102905273,0.8740202784538269,12.266095161437988,0.10779690742492676
22,0.0044498247290520295,23.51352882385254,0.8775234222412109,11.839945793151855,0.10916996002197266
23,0.00431366682689833,23.6503963470459,0.8782410621643066,11.654838562011719,0.10640621185302734
24,0.004086916763825636,23.877830505371094,0.878410279750824,11.353625297546387,0.1058814525604248
25,0.0038378755929634758,24.151552200317383,0.8821728825569153,11.00141429901123,0.10882258415222168
26,0.0037485004868358374,24.25836944580078,0.8822939991950989,10.866950035095215,0.10721373558044434
27,0.003488123919324655,24.57067108154297,0.8866899013519287,10.483169555664062,0.10835719108581543
28,0.0033904736935112035,24.687307357788086,0.8864152431488037,10.343339920043945,0.11159324645996094
29,0.0032591151294151417,24.863054275512695,0.8833681344985962,10.13615894317627,0.10701537132263184
