window,loss,psnr,ssim,relative_error,time_per_window
1,0.008980019949376583,20.467227935791016,0.8619055151939392,15.944843292236328,2.148045063018799
2,0.009417522698640823,20.260631561279297,0.8606159090995789,16.465892791748047,2.1457810401916504
3,0.009884930215775967,20.05026626586914,0.8523991703987122,16.97420883178711,2.1400883197784424
4,0.01039047259837389,19.833646774291992,0.8592543601989746,17.524978637695312,2.145503520965576
5,0.010816684924066067,19.659059524536133,0.8408148884773254,18.04262351989746,2.1475605964660645
6,0.011270739138126373,19.4804744720459,0.8191424608230591,18.611474990844727,2.1471567153930664
7,0.011142897419631481,19.530019760131836,0.8769641518592834,18.706464767456055,2.1250641345977783
8,0.010872571729123592,19.636676788330078,0.8620842099189758,18.662738800048828,2.1186413764953613
9,0.00851542130112648,20.697938919067383,0.8788833022117615,16.629804611206055,2.1381916999816895
10,0.007459683809429407,21.272794723510742,0.8884396553039551,15.876046180725098,2.1259078979492188
11,0.007810622453689575,21.073143005371094,0.8670468926429749,16.43427085876465,2.1376824378967285
12,0.007939123548567295,21.002273559570312,0.8730483055114746,16.12244987487793,2.1107449531555176
13,0.00903309602290392,20.441635131835938,0.866214394569397,17.39015007019043,2.118591070175171
14,0.008761029690504074,20.574451446533203,0.8778866529464722,17.441024780273438,2.1682279109954834
15,0.00912658404558897,20.39691734313965,0.8844162225723267,17.550748825073242,2.1257948875427246
16,0.010623570531606674,19.737295150756836,0.869726836681366,18.42365837097168,2.1430559158325195
17,0.009608021937310696,20.173660278320312,0.8733720183372498,17.59517478942871,2.123966932296753
18,0.010416829027235508,19.822643280029297,0.8623715043067932,18.36403465270996,2.117377519607544
19,0.010601612739264965,19.746280670166016,0.858730137348175,19.226444244384766,2.1184115409851074
20,0.008882514201104641,20.51464080810547,0.8736400008201599,17.819549560546875,2.1205923557281494
